ChartSource,Season,Japanese Title,Romaji Title,English Title,Additional Titles,Medium,Continuing,Summary,Tags,StartDate,Episodes,Images,Studios,Amazon,Amazon Instant Video Us,Anidb,Anilist,Anime-Planet,Anisearch,Comic Festa Anime Zone,Crunchyroll,Funimation,Hulu,Kitsu,Mal,Mal2,Netflix,Official Site,Official Site2,Preview,Twitter,Twitter2,Website,Youtube,Youtube2
"AniChart (21451), Livechart (1889)",Spring-2018,フルメタル・パニック！Invisible Victory,Full Metal Panic! Invisible Victory,Full Metal Panic! Invisible Victory,"FULL METAL PANIC! IV, , Full Metal Panic! IV",,False,"(From AniChart)
An announcement for a new <i>Full Metal Panic!</i> series installment has been made during the stage event at Fantasia Bunko Festival.
(From Livechart)
No synopsis has been added to this title.","Military, Action, Mecha, Sci-Fi",13/04/2018 21:30 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/21451-uMmQ3YnUtGQJ.jpg, https://u.livechart.me/anime/poster_images/1889/53bf7532c7798c92fe5366f75cbe88c7:small.jpg",Xebec,,,http://anidb.net/a11731,https://anilist.co/anime/21451,http://www.anime-planet.com/anime/full-metal-panic-3,https://www.anisearch.com/anime/10974,,,,,https://kitsu.io/anime/11460,http://myanimelist.net/anime/31931,https://myanimelist.net/anime/31931,,http://fullmeta-iv.com/,,https://www.youtube.com/watch?v=IoY2RXjESV0,https://twitter.com/fullmeta_iv,,http://fullmeta-iv.com,www.youtube.com/watch?v=IoY2RXjESV0,
"AniChart (99531), Livechart (2793)",Spring-2018,デビルズライン,Devil's Line,Devil's Line,,,False,"(From AniChart)
Tsukasa, a college student, is rescued from an attack by a devil, one of many vampires that can blend in among the human population. Anzai, her savior, is a half-devil who exploits his supernatural gifts as a member of a shadowy police task force that specializes in devil-related crime in Tokyo. As Anzai continues to keep guard over Tsukasa, the two quickly forge a tentative bond—one that Anzai fears will test his iron-clad rule of never drinking human blood...<br><br>

(Source: Vertical)
(From Livechart)
Tsukasa, a college student, is rescued from an attack by a devil, one of many vampires that can blend in among the human population. Anzai, her savior, is a half-devil who exploits his supernatural gifts as a member of a shadowy police task force that specializes in devil-related crime in Tokyo. As Anzai continues to keep guard over Tsukasa, the two quickly forge a tentative bond—one that Anzai fears will test his iron-clad rule of never drinking human blood…
(Source: Kodansha Comics)","Action, Drama, Horror, Romance, Supernatural, Seinen, Vampire",07/04/2018 22:30 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/99531-k0gyWMtCYn2j.jpg, https://u.livechart.me/anime/poster_images/2793/22718d78a95850b77b2f1c1ad36b1a75.png:small.jpg",Platinum Vision,,,http://anidb.net/a13283,https://anilist.co/anime/99531,,https://www.anisearch.com/anime/12630,,,,,https://kitsu.io/anime/13708,http://myanimelist.net/anime/35928,https://myanimelist.net/anime/35928,,http://devilsline.jp/,,https://www.youtube.com/watch?v=FQoP6Mvad-k,https://twitter.com/devilslineanime,,http://devilsline.jp,www.youtube.com/watch?v=FQoP6Mvad-k,
"AniChart (100814), Livechart (3022)",Spring-2018,Cutie Honey Universe,Cutie Honey Universe,Cutie Honey Universe,,,False,"(From AniChart)
Honey Kisaragi appears to be an ordinary girl attending St. Chapel Academy, but in reality she's the ""Warrior of Love"" Cutie Honey, a super-powered android created by Dr. Kisaragi. Honey and her allies investigate the evil schemes of Panther Claw, a criminal secret society, but Honey doesn't realize that the leader of Panther Claw is already closer than she thinks...<br><br>

(Source: Crunchyroll)
(From Livechart)
No synopsis has been added to this title.","Action, Adventure, Sci-Fi, Ecchi, Comedy, Magic, Romance, Shoujo",08/04/2018 20:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/100814-C1Cvy4E6obpM.jpg, https://u.livechart.me/anime/poster_images/3022/4c05f98c5fd6f9b3b552c8ec9c62d08d:small.jpg",Production Reed,,,http://anidb.net/a13676,https://anilist.co/anime/100814,http://www.anime-planet.com/anime/cutie-honey-universe,https://www.anisearch.com/anime/13138,,,,,https://kitsu.io/anime/14142,http://myanimelist.net/anime/36976,https://myanimelist.net/anime/36976,,http://cutiehoney-u.com/,,https://www.youtube.com/watch?v=SZhDoIIwIxw,https://twitter.com/CutieHoney_U,,http://cutiehoney-u.com,www.youtube.com/watch?v=-uH4GXSg5s4,
AniChart (87504),Spring-2018,されど罪人は竜と踊る,Saredo Tsumibito wa Ryuu to Odoru,Dance with the Dragons,,TV,False,"(From AniChart)
The story revolves around ""jushiki"" (lit. spell equations), the equations that govern the quantum constant ""h"" of action, change the laws of physics at the local scale, give birth to TNT explosives and poison gas, and cause incredible physical phenomena such as plasma and nuclear fusion. Two ""jushikishi"" (spell equationists) who use jushiki in battle are Gayus (who deals with bad luck with tact) and the beautiful but cruel sword-wielder Gigina. These two bounty hunters are caught up in a battle with dragons in the city of Eridana and in the intrigue of great nations.<br><br>

(Source: ANN)","Action, Drama, Fantasy, Sci-Fi",06/04/2018 12:58 +0900,12,https://cdn.anilist.co/img/dir/anime/reg/87504-2RlSzxZc6tT9.jpg,Seven Arcs,,,,https://anilist.co/anime/87504,,,,,,,,http://myanimelist.net/anime/33889,,,http://www.tbs.co.jp/anime/sareryu/,,,https://twitter.com/sareryu_anime,,,www.youtube.com/watch?v=Qd4Q7IGgtUI,
"AniChart (98514), Livechart (2630)",Spring-2018,ウマ娘 プリティーダービー,Uma Musume Pretty Derby,Uma Musume Pretty Derby,,,False,"(From AniChart)
The game's concept begins with Uma Musume (Horse Girls), girls endowed with excellent running capability, and who aim to become top idols and compete in the national sports entertainment show ""Twinkle Series.""<br><br>

(Source: ANN)
(From Livechart)
No synopsis has been added to this title.","Primarily Female Cast, Kemonomimi, Athletics, Sports",02/04/2018 12:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/98514-NIaXRsnn0FxE.jpg, https://u.livechart.me/anime/poster_images/2630/3c48262c184fe04efe20c3cd8e493ff3.png:small.jpg",P.A. Works,,,http://anidb.net/a13034,https://anilist.co/anime/98514,http://www.anime-planet.com/anime/uma-musume-pretty-derby,https://www.anisearch.com/anime/12470,,,,,https://kitsu.io/anime/12853,http://myanimelist.net/anime/35249,https://myanimelist.net/anime/35249,,https://umamusume.jp/anime/,,https://www.youtube.com/watch?v=WlDbeKNVtBo,https://twitter.com/uma_musu_anime,,http://anime-umamusume.jp,www.youtube.com/watch?v=WlDbeKNVtBo,
AniChart (100306),Spring-2018,メジャーセカンド,Major 2nd,Major 2nd,,TV,False,"(From AniChart)
Daigo is born as the son of Gorou, a father who is too great. What path will Daigo, who is burdened with great expectations, take in baseball?","Comedy, Drama, Sports",07/04/2018 04:35 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/100306-uy9Bd8llHCQ8.jpg,NHK Enterprises,,,,https://anilist.co/anime/100306,,,,,,,,http://myanimelist.net/anime/36565,,,http://www.shopro.co.jp/tv/major2nd/,,,https://twitter.com/major2nd_tv,,,www.youtube.com/watch?v=uo4E7pmJyUo,
AniChart (100569),Spring-2018,カリギュラ,Caligula,Caligula,The Caligula Effect,TV,False,"(From AniChart)
The Caligula Effect is set in a virtual reality program known as ""Mobius"", created so people can escape pain in their lives and live in an idyllic high school setting, forced to live out their 3 years Indefinitely. The main protagonist is one of a group who realize that they are in a virtual world, and form the ""Go-Home Club"", a group dedicated to escaping from Mobius and its god-like overseer program, a vocal program called ""μ"". They oppose the ""Ostinato Musicians"", a group who supports μ and sees the Go-Home Club as traitors.",Sci-Fi,08/04/2018 10:30 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/100569-LBfpdDhS4oBE.jpg,Satelight,,,,https://anilist.co/anime/100569,,,,,,,,http://myanimelist.net/anime/36828,,,http://caligula-anime.com/,,,https://twitter.com/Caligula_Anime,,,www.youtube.com/watch?v=3MKbRIL-Wbg,
"AniChart (97767), Livechart (2384)",Spring-2018,ハイスクールD×D HERO,High School DxD HERO,High School DxD HERO,", High School DxD Dai 4-ki, High School DxD 4th Season, High School DxD Fourth Season, Highschool DxD 4",,False,"(From AniChart)
The fourth season of <i>High School DxD</i>.
(From Livechart)
No synopsis has been added to this title.","Harem, Demons, Super Power, Airsoft, Dark Skin, Action, Comedy, Ecchi, Romance, School, Shounen",10/04/2018 22:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/97767-5PcDorQe0h8w.jpg, https://u.livechart.me/anime/poster_images/2384/6cd954b08fa23e9b30b41062af238a45.png:small.jpg",Passione,,,http://anidb.net/a12498,https://anilist.co/anime/97767,http://www.anime-planet.com/anime/high-school-dxd-4th-season,https://www.anisearch.com/anime/11878,,,,,,http://myanimelist.net/anime/34281,https://myanimelist.net/anime/34281,,http://www.haremking.tv/,,https://www.youtube.com/watch?v=cvLm7TFfRtI,https://twitter.com/hdd_anime,,http://www.haremking.tv,www.youtube.com/watch?v=Aar0gru143M,
"AniChart (101097), Livechart (3057)",Spring-2018,キラッとプリ☆チャン,Kiratto Pri☆Chan,Kiratto Pri☆Chan,", Pretty Rhythm",,False,"(From AniChart)
First-year middle school girls Mirai Momoyama and Emo Moegi are two aspiring idols who decide to use the ""Pri☆Chan System,"" a system used by famous people and companies to broadcast content. Like many girls starting their own channels and uploading content, the pair decide to become their own producers, starting their own channel in an attempt to become Pri☆Chan idols.<br>
<br>
(Source: ANN)
(From Livechart)
First-year middle school girls Mirai Momoyama and Emo Moegi are two aspiring idols who decide to use the ""Pri☆Chan System,"" a system used by famous people and companies to broadcast content. Like many girls starting their own channels and uploading content, the pair decide to become their own producers, starting their own channel in an attempt to become Pri☆Chan idols.
(Source: Anime News Network)","Idol, Kids, Music",08/04/2018 21:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/101097-29lNA3Ot2l6S.jpg, https://u.livechart.me/anime/poster_images/3057/9d46c31d3acd084f5cec9076e8ec26c9.png:small.jpg","Dongwoo A&E, Tatsunoko",,,http://anidb.net/a13752,https://anilist.co/anime/101097,http://www.anime-planet.com/anime/kiratto-pri-chan,https://www.anisearch.com/anime/13281,,,,,,http://myanimelist.net/anime/37178,https://myanimelist.net/anime/37178,,http://www.tv-tokyo.co.jp/anime/prichan/,,,https://twitter.com/synSophia,,,,
"AniChart (100077), Livechart (2861)",Spring-2018,ヒナまつり,Hinamatsuri,Hinamatsuri,", Hina Festival",,False,"(From AniChart)
The comedy manga centers around a super-powered girl named Hina and Nitta, a young member of the yakuza. Hina suddenly appears in Nitta's room and threatens him with her extraordinary powers. However, they end up living together.<br><br>

(Source: ANN)
(From Livechart)
One night, a strange object falls on the head of Nitta, a member of the yakuza. Inside the box is a strange young girl named Hina. She has tremendous supernatural powers, and Nitta finds himself reluctantly taking her in. Her powers can come in handy for his yakuza business, but he also runs the risk of her using them on him! Not to mention, if she doesn't use her powers, she will eventually go berserk and destroy everything around her. Nitta and Hina's strange life together is just beginning...
(Source: MangaHelpers)","Comedy, Fantasy, Slice of Life, Sci-Fi, Seinen",06/04/2018 20:00 +0900,12,"https://cdn.anilist.co/img/dir/anime/reg/100077-GWWxOmN8WHwe.jpg, https://u.livechart.me/anime/poster_images/2861/7de17279f3a53de74b5f2d4a280e63ff.png:small.jpg",feel.,,,http://anidb.net/a13434,https://anilist.co/anime/100077,http://www.anime-planet.com/anime/hinamatsuri,https://www.anisearch.com/anime/12807,,,,,https://kitsu.io/anime/14018,http://myanimelist.net/anime/36296,https://myanimelist.net/anime/36296,,http://hina-matsuri.net/,,https://www.youtube.com/watch?v=R4v743Uxgsg,https://twitter.com/hinamatsuri4649,,http://hina-matsuri.net,www.youtube.com/watch?v=1oTxGJcx04Q,
AniChart (21746),Spring-2018,フリクリ2,FLCL Progressive,FLCL Progressive,FLCL 2,TV,False,"(From AniChart)
Many years have passed since Naota and Haruhara Haruko shared their adventure together. Meanwhile, the war between the two entities known as Medical Mechanica and Fraternity rages across the galaxy. Enter Hidomi, a young teenaged girl who believes there is nothing amazing to expect from her average life, until one day when a new teacher named Haruko arrives at her school. Soon enough, Medical Mechanica is attacking her town and Hidomi discovers a secret within her that could save everyone, a secret that only Haruko can unlock.<br>
But why did Haruko return to Earth? 
What happened to her Rickenbacker 4001 she left with Naota? 
And where did the human-type robot ‘Canti’ go?<br><br>
(Source: Adult Swim)",Sci-Fi,02/06/2018 11:00 +0900,6,https://cdn.anilist.co/img/dir/anime/reg/21746-bx6y0ATrZ8os.jpg,Production I.G,,,,https://anilist.co/anime/21746,,,,,,,,http://myanimelist.net/anime/33010,,,http://flcl-anime.com/,,,https://twitter.com/FLCL_JAPAN/,,,www.youtube.com/watch?v=lleTz_DQTh4,
"AniChart (100083), Livechart (2866)",Spring-2018,Butlers～千年百年物語～,Butlers ~Chitose Momotose Monogatari~,Butlers ~Chitose Momotose Monogatari~,", Butlers: A Millennium Century Story",,False,"(From AniChart)
Koma Jinguji (Jay) is the smart and handsome student council president. His elegant smile captures the hearts of women. Tsubasa Hayakawa is a multi-talented and gentle shop assistant at a café. His cafe latte with owl latte art is very popular with female customers. The two men travel through time to fight their archenemy. The charming ""Butlers,"" as they are called, fight supernatural battles and also experience a slapstick comedic life at their academy.<br><br>

(Source: ANN)
(From Livechart)
The anime centers on two protagonists. Koma Jinguji (Jay) is the smart and handsome student council president. His elegant smile captures the hearts of women. Tsubasa Hayakawa is a multi-talented and gentle shop assistant at a café. His cafe latte with owl latte art is very popular with female customers. The two men travel through time to fight their archenemy. The charming ""Butlers,"" as they are called, fight supernatural battles and also experience a slapstick comedic life at their academy.
(Source: Anime News Network)","Comedy, Supernatural",12/04/2018 12:05 +0900,12,"https://cdn.anilist.co/img/dir/anime/reg/100083-TdvGpOG6ZYZP.jpg, https://u.livechart.me/anime/poster_images/2866/bdad9e8369bc0ba67ec530be1147f5ba.png:small.jpg","SILVER LINK., Silver Link",,,http://anidb.net/a13437,https://anilist.co/anime/100083,http://www.anime-planet.com/anime/butlers-chitose-momotose-monogatari,https://www.anisearch.com/anime/12809,,,,,https://kitsu.io/anime/14037,http://myanimelist.net/anime/36309,https://myanimelist.net/anime/36309,,http://www.butlers-anime.com/,,https://www.youtube.com/watch?v=0bwfwJATZ58,https://twitter.com/butlers_anime,,http://www.butlers-anime.com,www.youtube.com/watch?v=0bwfwJATZ58,
AniChart (100852),Spring-2018,鬼灯の冷徹 2,Hoozuki no Reitetsu 2: Part II,Hozuki’s Coolheadedness 2: Part II,"Hozuki no Reitetsu, , , ",TV,False,"(From AniChart)
The second cour of <i>Hoozuki no Reitetsu 2</i>.","Comedy, Fantasy, Supernatural",08/04/2018 12:00 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/100852-jn5QO3uO5K6A.jpg,Studio DEEN,,,,https://anilist.co/anime/100852,,,,,,,,http://myanimelist.net/anime/37029,,,http://www.hozukino-reitetsu.com/,,,https://twitter.com/hozuki_anime,,,,
"AniChart (100341), Livechart (2237)",Spring-2018,重神機パンドーラ,Juushinki Pandora,Juushinki Pandora,", Heavy Divine Unit Pandora, The Next, Unit Pandora",,False,"(From AniChart)
In the year 2031, an experimental energy device known as the ""Quantum Reactor"" is created to help alleviate the problems stemming from Earth's dwindling fossil fuel reserves. Unfortunately, the ""Quantum Reactor"" goes out of control, exploding and bathing the world with unknown energies in an incident known as the ""Shouryuu Crisis"". As a result of the catastrophic environmental changes that follow, humanity is pushed to the brink of extinction, and strange new organisms - part organic, part mechanical - known as the ""B.R.A.I."" emerge.<br><br>

Seven years later, Leon Lau - one of the scientists at the center of the ""Shouryuu Crisis"", is living in the wilderness near Neo Shouryou, one of the last remaining human cities. Leon has entered into a ""family contract"" with Chloe Lau, and together the two of them research their own methods of combatting the B.R.A.I. threat.<br><br>

(Source: CR)
(From Livechart)
On the day the Xianglong (Shanron or Soaring Dragon) Crisis occurred in 2031, Leon Lau was right in the middle of the unfolding events. The Quantum Reactor, a next generation energy device developed to replace dwindling environmental resources, exploded and unleashed an unknown energy. As a result, the global environment changed overnight. Living things (besides humans) and machines each underwent their own unique evolution, and the B.R.A.I. (Biological Revolutionary of Accelerated Intelligence) entities in particular evolved and came into being. Because of them, humanity was driven to the brink of extinction. Humans fight the B.R.A.I with M.O.E.V. (Multi-purpose Organic Evolution Vehicle) variable units.
Seven years after the Xianglong Crisis, Leon is in the wilderness on the edge of the ""absolute defense city"" Neo Xianglong. Living with Chloe Lau under a ""family pact,"" he conducts his own research to counter the B.R.A.I. The awkward Leon and the busybody Chloe. They live day-by-day as if to forget the past for the moment. However, threats unrelentingly draw near.
(Source: Anime News Network)","Mecha, Sci-Fi",04/04/2018 22:30 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/100341-PHtbdJKaF34o.jpg, https://u.livechart.me/anime/poster_images/2237/b9746e03ee538424ffa44b50b7ee9fc4:small.jpg",Satelight,,,http://anidb.net/a12252,https://anilist.co/anime/100341,http://www.anime-planet.com/anime/juushinki-pandora,https://www.anisearch.com/anime/12917,,,,,https://kitsu.io/anime/12297,http://myanimelist.net/anime/33531,https://myanimelist.net/anime/33531,,http://www.project-pandora.jp/,,https://www.youtube.com/watch?v=o9nd7fouUFM,https://twitter.com/unit_pandora,,http://www.project-pandora.jp,www.youtube.com/watch?v=o9nd7fouUFM,
"AniChart (99578), Livechart (2800)",Spring-2018,ヲタクに恋は難しい,Wotaku ni Koi wa Muzukashii,Wotaku ni Koi wa Muzukashii,"WotaKoi, It’s Difficult to Love an Otaku, Love is Hard for an Otaku, , It's Difficult to Love an Otaku, Love is Hard for Otaku, Otakoi: Otaku Can't Fall in Love?!",,False,"(From AniChart)
The story centers on the awkward romantic comedy between Narumi, a female office worker who hides her fujoshi lifestyle, and Hirotaka, a handsome and capable company man who is secretly a game otaku.<br>
<br>
(Source: ANN)
(From Livechart)
After discovering that they work at the same company a gaming crazed otaku and a fujoshi meet each other for the first time since middle school. After some post-work drinking session they begin dating, but will it be a perfect relationship for the two?
(Source: MyAnimeList)","Comedy, Romance, Slice of Life",13/04/2018 12:55 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/99578-JooUZvr8kv6S.jpg, https://u.livechart.me/anime/poster_images/2800/0b745fb8e9692a376f9c3954111b82f7:small.jpg",A-1 Pictures,,,http://anidb.net/a13293,https://anilist.co/anime/99578,,https://www.anisearch.com/anime/12639,,,,,https://kitsu.io/anime/13660,http://myanimelist.net/anime/35968,https://myanimelist.net/anime/35968,,http://wotakoi-anime.com/,,https://www.dailymotion.com/video/x6fwdds,https://twitter.com/wotakoi_anime,,http://wotakoi-anime.com,www.youtube.com/watch?v=dm--x6doqmw,
AniChart (101115),Spring-2018,ベイブレードバースト超セツ,Beyblade Burst Chouzetsu,Beyblade Burst Chouzetsu,,TV,False,"(From AniChart)
None","Action, Sci-Fi, Sports",02/04/2018 04:55 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/101115-8W9RCORvvMuc.jpg,Oriental Light and Magic,,,,https://anilist.co/anime/101115,,,,,,,,http://myanimelist.net/anime/37283,,,http://www.tv-tokyo.co.jp/anime/beyblade/,,,https://twitter.com/beyblade_info,,,,
"AniChart (99539), Livechart (2333)",Winter-2018,七つの大罪 戒めの復活,Nanatsu no Taizai: Imashime no Fukkatsu,The Seven Deadly Sins: Revival of the Commandments,", The Seven Deadly Sins: Revival of The Commandments",,True,"(From AniChart)
The second season of Nanatsu no Taizai.
(From Livechart)
No synopsis has been added to this title.","Shounen, Super Power, Magic, Action, Adventure, Fantasy, Supernatural",01/04/2018 00:00 +0900,24,"https://cdn.anilist.co/img/dir/anime/reg/99539-bkfUqkhBTSeR.jpg, https://u.livechart.me/anime/poster_images/2333/38ad3e3073b6b1bce6aff140caaf2a28.png:small.jpg",A-1 Pictures,,,http://anidb.net/a11646,https://anilist.co/anime/99539,http://www.anime-planet.com/anime/the-seven-deadly-sins-revival-of-the-commandments,https://www.anisearch.com/anime/10789,,,,,https://kitsu.io/anime/12633,http://myanimelist.net/anime/34577,https://myanimelist.net/anime/34577,,http://www.7-taizai.net/,,https://www.dailymotion.com/video/x6bens9,https://twitter.com/7_taizai,,http://www.7-taizai.net,www.youtube.com/watch?v=dm--x6bens9,
"AniChart (99423), Livechart (2773)",Winter-2018,ダーリン・イン・ザ・フランキス,Darling in the Franxx,DARLING in the FRANXX,"DarliFra, , Darling in the Frankxx",,True,"(From AniChart)
Joint anime project between Trigger and A-1 Pictures that was announced at Anime Expo 2017.<br><br>

The story is set in the distant future. The land is ruined, and humanity establishes the mobile fort city Plantation. Pilots produced inside Plantation live in Mistilteinn, also know as the ""birdcage."" Children live there knowing nothing of the outside world or the freedom of the sky. Their lives consist of battling to carry out missions. Their enemies are mysterious giant lifeforms known as Kyōryū, and the children pilot robots called Franxx to face off against them. For the children, riding the Franxx proves their existence.<br><br>

A boy named Hiro is called Code:016, and he was once known as a prodigy. However, he has fallen behind, and his existence seems unnecessary. Not piloting a Franxx is the same as ceasing to exist. One day, a mysterious girl known as ""Zero Two"" appears before him. Two horns grow out of her head.<br><br>

(Source: ANN)
(From Livechart)
They dream of one day flying into the endless sky, even though they are painfully aware of how far away the sky is beyond the glass that blocks their flight.
The distant future: Humanity established the mobile fort city, Plantation, upon the ruined wasteland and civilization flourished. Within the city were pilot quarters called Mistilteinn, otherwise known as the “Birdcage.” That is where the children live... Not knowing anything of the outside world, and unaware of the vast sky. Their only mission in life was the fight.
Their enemies are the mysterious giant organisms known as Kyoryu. The children operate robots known as FRANXX in order to face these still unseen enemies because they believe that is their purpose in life. Among them was a boy who was once called a child prodigy: Code number 016, Hiro. However, now he’s a failure and considered unneeded. Those who cannot pilot FRANXX basically do not exist.
One day, a mysterious girl called Zero Two appears in front of Hiro. From her face grew two alluring horns.
“I’ve found you, my Darling.”
(Source: Crunchyroll)","Super Robot, Robots, Post-Apocalyptic, Dystopian, Sci-Fi, Mecha",07/04/2018 22:30 +0900,24,"https://cdn.anilist.co/img/dir/anime/reg/99423-8MBxtwCeHf8B.png, https://u.livechart.me/anime/poster_images/2773/8204c4ac924e3691c51d2253f4d200b6:small.jpg","Trigger, A-1 Pictures",,,http://anidb.net/a13259,https://anilist.co/anime/99423,http://www.anime-planet.com/anime/darling-in-the-frankxx,https://www.anisearch.com/anime/12599,,http://www.crunchyroll.com/darling-in-the-franxx,https://www.funimation.com/shows/darling-in-the-franxx/,https://www.hulu.com/darling-in-the-franxx,https://kitsu.io/anime/13600,http://myanimelist.net/anime/35849,https://myanimelist.net/anime/35849,,http://darli-fra.jp/,,https://www.youtube.com/watch?v=c064fd9fpps,https://twitter.com/DARLI_FRA,,http://darli-fra.jp,www.youtube.com/watch?v=dm--x6c7k52,
"AniChart (97881), Livechart (2198)",Winter-2018,カードキャプターさくら クリアカード編,Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card,,,True,"(From AniChart)
Fourteen-year-old Sakura starts junior high school along her friends, including Syaoran, who had just returned to Tomoeda. After having a dream with a mysterious cloaked figure, all of Sakura's cards turn blank and are rendered powerless, thus she starts her quest to find out what is wrong. In doing so, Sakura and her allies discover and capture new transparent cards using a new key.<br>
<br>
(Source: Cardcaptor Sakura Wikia)
(From Livechart)
Fourteen-year-old Sakura starts junior high school along her friends, including Syaoran, who had just returned to Tomoeda. After having a dream with a mysterious cloaked figure, all of Sakura's cards turn blank and are rendered powerless, thus she starts her quest to find out what is wrong. In doing so, Sakura and her allies discover and capture new transparent cards using a new key.
(Source: Cardcaptor Sakura Wikia)","Mahou Shoujo, Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",01/04/2018 00:00 +0900,22,"https://cdn.anilist.co/img/dir/anime/reg/97881-vkRsEAFZpxSY.jpg, https://u.livechart.me/anime/poster_images/2198/3c542e53be75b9fcabde771b7a08e677:small.jpg",MADHOUSE,,,http://anidb.net/a12140,https://anilist.co/anime/97881,http://www.anime-planet.com/anime/cardcaptor-sakura-shinsaku,https://www.anisearch.com/anime/11517,,http://www.crunchyroll.com/cardcaptor-sakura-clear-card,https://www.funimation.com/shows/cardcaptor-sakura-clear-card/,https://www.hulu.com/cardcaptor-sakura-clear-card,https://kitsu.io/anime/12237,http://myanimelist.net/anime/33354,https://myanimelist.net/anime/33354,,http://ccsakura-official.com/,,https://www.youtube.com/watch?v=woda_amAJU0,https://twitter.com/ccsakura_info,,http://ccsakura-official.com,www.youtube.com/watch?v=FrF5qt_LBlc,
AniChart (98034),Winter-2018,斉木楠雄のΨ難 2,Saiki Kusuo no Ψ Nan 2,The Disastrous Life of Saiki K. 2,Saiki Kusuo no Psi Nan 2,TV,True,"(From AniChart)
The second season of <i>Saiki Kusuo no Ψ Nan</i>.","Surreal Comedy, Super Power, Comedy, Supernatural",17/01/2018 12:35 +0900,24,https://cdn.anilist.co/img/dir/anime/reg/98034-1eQ4F7SKxVas.jpg,J.C. Staff,,,,https://anilist.co/anime/98034,,,,,,,,http://myanimelist.net/anime/34612,,,http://www.saikikusuo.com/,,,https://twitter.com/saikikusuo_PR,,,,
"AniChart (97768), Livechart (2383)",Winter-2018,グランクレスト戦記,Grancrest Senki,Record of Grancrest War,,,True,"(From AniChart)
The series takes place on a continent ruled by chaos. The chaos breeds disaster, but the Lords of the continent have the power of ""Crest"" (Holy Seal) that can calm the chaos and protect the people. However, before anyone realizes it, the rulers cast aside their creed of purifying the chaos, and instead start to fight each other for each others' Crests and to gain dominion over one another. Siluca, an isolated mage who scorns the Lords for abandoning their creed, and a wandering knight named Theo, who is on a journey to train to one day liberate his hometown, which is under tyrannical rule, make an everlasting oath to each other as master and servant and work together to reform this continent dominated by wars and chaos.<br><br>

(Source: ANN, edited)
(From Livechart)
“I, Siluca Meletes, hereby make a contract with the Crest of Knight Theo, and swear my allegiance for all of eternity.”
A lone mage named Siluca and a vagrant knight named Theo make an oath as master and retainer, with hopes of bringing reform to a land riddled with war and chaos. Atlatan, a land ruled by chaos.
Fearing disaster brought about by chaos, the people lived protected by “Lords;” those with the power of “Crests,” used to suppress the chaos.
However, the Lords decided to abandon the concept of protecting the people and turn against each other secretly in war, stealing each other’s Crests to gain dominion over one another. Among these people are Siluca, a lone mage who despises the Lords, and Theo, a vagrant knight who continues his journey of training to someday liberate his homeland from tyrannical rule.
Enticed by Theo’s ideals, Siluca’s coercive tactics have the two forming a contract and together, the pair work to reform a war-torn land.
Unfolding around the crystal of order, “Grancrest,” the world’s greatest record of war fantasy begins!
(Source: Crunchyroll)","War, Magic, Demons, Female Protagonist, Action, Fantasy",01/04/2018 00:00 +0900,24,"https://cdn.anilist.co/img/dir/anime/reg/97768-BsbVjar0pJYo.jpg, https://u.livechart.me/anime/poster_images/2383/3382c6a39798480c17653ed2a8dad284:small.jpg",A-1 Pictures,,,http://anidb.net/a12496,https://anilist.co/anime/97768,http://www.anime-planet.com/anime/grancrest-senki,https://www.anisearch.com/anime/12041,,http://www.crunchyroll.com/record-of-grancrest-war,,https://www.hulu.com/record-of-grancrest-war,https://kitsu.io/anime/12705,http://myanimelist.net/anime/34279,https://myanimelist.net/anime/34279,,http://grancrest-anime.jp/,,https://www.dailymotion.com/video/x6c91j8,https://twitter.com/grancrest_anime,,http://grancrest-anime.jp,www.youtube.com/watch?v=dm--x6c91j8,
