ChartSource,Season,Japanese Title,Romaji Title,English Title,Additional Titles,Medium,Continuing,Renewal,Summary,Tags,StartDate,Episodes,Runtime,Images,Studios,Anidb,Anilist,Anime-Planet,Anisearch,Crunchyroll,Crunchyroll2,Funimation,Hidive,Kitsu,Mal,Mal Id,Netflix,Official Site,Official Site2,Preview,Twitter,Twitter2,Vrv,Watch,Website
"Livechart (9809), Anilist (http://anilist.co/anime/116005)",Fall-2020,NOBLESSE -ノブレス-,Noblesse,,"노블레스, Noblesse",TV,False,False,"(From Livechart)
※ NOTE: Episodes stream on Crunchyroll prior to broadcasting in Japan
Raizel awakens from his 820-year slumber. He holds the special title of Noblesse, a pure-blooded Noble and protector of all other Nobles. In an attempt to protect Raizel, his servant Frankenstein enrolls him at Ye Ran High School, where Raizel learns the simple and quotidian routines of the human world through his classmates.
However, the Union, a secret society plotting to take over the world, dispatches modified humans and gradually encroaches on Raizel’s life, causing him to wield his mighty power to protect those around him...
After 820 years of intrigue, the secrets behind his slumber are finally revealed, and Raizel’s absolute protection as the Noblesse begins!
[Source: Crunchyroll ]
For 820 years he had slumbered with no knowledge of mankind's advancement and scientific progress. The land which he once knew has become an unfamiliar place with new technology, attitudes, and lifestyles. Upon awakening, Cadis Etrama Di Raizel (aka Rai), seeks to familiarize himself with this era. He locates a loyal servant of his, Frankenstein, who is currently the principal of a South Korean High School. Rai decides that this school is the perfect place to help him learn about the modern world, enrolls, and begins associating with a group of good-natured students in order to 'blend in'. But this new world is no safer than the old; and the dignified, bewildered, technologically inept Rai finds himself embroiled in adventures both ridiculous and dangerous.<br><br>
(Source: Eat Manga)","Action, Fantasy, School, Vampire, Urban Fantasy, Super Power, Shounen, Memory Manipulation, Assassins",2020-10-08T00:00:00+09:00,13,0,"https://u.livechart.me/anime/9809/poster_image/aeeb0659aace3b2c4b8dc32d97087c29.png?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx116005-9JRcdXOixDgz.png",Production I.G,http://anidb.net/a15409,https://anilist.co/anime/116005,http://www.anime-planet.com/anime/noblesse,,http://www.crunchyroll.com/noblesse-awakening,https://www.crunchyroll.com/noblesse-awakening,,,https://kitsu.io/anime/43019,https://myanimelist.net/anime/41345,,,https://noblesse-anime.com/,,/anime/9809/videos,https://twitter.com/Anime_Noblesse,https://twitter.com/noblesse_jp,https://vrv.co/series/GYGG9Z2WY/Noblesse-Awakening,/anime/9809/streams,https://noblesse-anime.com
Livechart (9502),Fall-2020,GREAT PRETENDER,Great Pretender,,El Gran Farsante,ONA,False,False,"(From Livechart)
※ NOTE: Netflix Japan premiered episodes in batches prior to regular broadcasting
Masato Edamura is supposedly Japan's greatest swindler. Together with his partner Kudo, they try to trick a Frenchman in Asakusa but unexpectedly get tricked instead. The Frenchman, whom they tried to swindle, turns out to be Laurent Thierry- a much higher-level 'confidence man,' in control of the mafias. Edamura is yet to find out what fate awaits him, after having engaged in the Frenchman's dirty jobs...!
[Source: official website; emended]","Action, Adventure, Comedy",2020-10-01T12:55:00+09:00,23,0,https://u.livechart.me/anime/9502/poster_image/4721a45efd212d8597b3844beff77080.png?style=small&format=jpg,Wit Studio,http://anidb.net/a14990,https://anilist.co/anime/110349,http://www.anime-planet.com/anime/great-pretender,https://www.anisearch.com/anime/14491,,,,,https://kitsu.io/anime/42438,https://myanimelist.net/anime/40052,,,,,/anime/9502/videos,https://twitter.com/GrePre_anime,,,/anime/9502/streams,http://www.greatpretender.jp
"Livechart (9651), Anilist (http://anilist.co/anime/112667)",Fall-2020,キミと僕の最後の戦場、あるいは世界が始まる聖戦,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",Our Last Crusade or the Rise of a New World,"The Last Battlefield Between You and I, or Perhaps the Beginning of the World's Holy War, the War ends the world / raises the world, キミ戦, KimiSen",TV,False,False,"(From Livechart)
""The Empire"" is a mechanized utopia with highly developed science and technology. ""The Nebulis Sovereignty"" is a nation feared as the ""Land of the Witches"" whose people use paranormal power. The two countries have been constantly at war for more than one hundred years, but now two heroes have appeared in their respective lands.
Iska has come to be recognized as the greatest military asset of the Empire at the youngest age in its history. Aliceliese is the Princess of the Nebulis Sovereignty, called the ""Ice Calamity Witch"" with fear by her enemies.
The two meet on the battlefield and become mortal enemies. Prides lock horns as they both fight uncompromisingly to protect their respective nations, families, and comrades.
But as they get to know each other as real people during their fierce battles, they start to become attracted to each other’s ways of life and ideals... though they are fully aware that fate will mock them cruelly, not allowing them to be together.
...Sure enough, the world's tension heightens even more, and conspiracies of the major nations become more entangled. But even in such a world divided, this boy and girl cannot stop their feelings for each other…
[Source: KADOKAWAanime ]
Embroiled in a hundred-year war, young Iska is sent to assassinate the Ice Calamity Witch, Aliceliese. Meant to murder each other, their initial encounter on the battleground creates doubt in their missions, but finding common ground together would make them traitors to their own countries.<br>
<br>
Though circumstances previously made them enemies, their now conflicted hearts may just make them lovers!<br>
<br>
(Source: Funimation)","Action, Fantasy, Military, Romance, War, Magic, Witch, Demons, Female Protagonist, Male Protagonist, Politics",2020-10-07T22:30:00+09:00,12,0,"https://u.livechart.me/anime/9651/poster_image/80dbcad7d18ca9932f3803219df2da35.png?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx112667-GYFeAlZ38mXK.jpg",SILVER LINK.,http://anidb.net/a15216,https://anilist.co/anime/112667,http://www.anime-planet.com/anime/our-last-crusade-or-the-rise-of-a-new-world,https://www.anisearch.com/anime/14698,,,,,https://kitsu.io/anime/42638,https://myanimelist.net/anime/40595,,,https://kimisentv.com/,,/anime/9651/videos,https://twitter.com/kimisen_project,,,/anime/9651/streams,https://kimisentv.com
"Livechart (9818), Anilist (http://anilist.co/anime/116267)",Fall-2020,トニカクカワイイ,Tonikaku Kawaii,TONIKAWA: Over The Moon For You,"Generally Cute, Fly Me to The Moon, Fly Me to the Moon",TV,False,False,"(From Livechart)
Nasa Yuzaki falls in love at first sight after an encounter with the mysterious Tsukasa. When Nasa earnestly confesses his feelings, she replies, ""I'll date you, but only if we're married."" Nasa and Tsukasa's cute and precious newlywed life of love is about to begin!
[Source: Crunchyroll ; emended]
The story follows a protagonist whose name is written with the characters for ""Hoshizora"" (""Starry Sky"" in Japanese), but whose name is pronounced as ""Nasa"". On the day of his high school entrance exams, Nasa encounters a beautiful girl named Tsukasa. For Nasa, it feels like destiny is finally calling out to him that he will have a girlfriend, but things take a turn for the worse when Nasa is hit by a car and unable to attend his entrance exams.<br>
<br>
After Tsukasa helps the injured Nasa, he confesses his feelings to her, and she agrees to go out with him, but only if Nasa agrees to marry her first. A year later Nasa aces the entrance exams, but he decides to work a part time job and live by himself instead of going to school. After Nasa turns 18, Tsukasa re-appears, and their happy, romantic, and mysterious married life together begins.<br>
<br>
(Source: Crunchyroll)","Comedy, Romance, Shounen, Family Life, Iyashikei, Primarily Adult Cast, Parody, Meta",2020-10-03T01:05:00+09:00,0,0,"https://u.livechart.me/anime/9818/poster_image/ebbf2dd2ac39f381e6d1025ff786d817.png?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx116267-H8g5T4k5dpc1.png",Seven Arcs,http://anidb.net/a15421,https://anilist.co/anime/116267,http://www.anime-planet.com/anime/tonikaku-cawaii,https://www.anisearch.com/anime/15046,http://www.crunchyroll.com/tonikawa-over-the-moon-for-you,,,,https://kitsu.io/anime/43034,https://myanimelist.net/anime/41389,,,http://tonikawa.com/,,/anime/9818/videos,https://twitter.com/tonikawa_anime,https://twitter.com/tonikawa_en,,/anime/9818/streams,http://tonikawa.com
"Livechart (9939), Anilist (http://anilist.co/anime/118419)",Fall-2020,神様になった日,Kamisama ni Natta hi,The Day I Became a God,,TV,False,False,"(From Livechart)
One day during Youta Narukami's last summer vacation of high school, a girl named Hina suddenly appears and proclaims herself ""the All-Knowing God."" Hina announces to the thoroughly confused Youta, ""The world will end in 30 days."" Youta then witnesses Hina's god-like powers of prophecy, convincing him that her powers are real. Hina's naive innocence belies her powers, and she decides to live at Youta's home for some reason. Thus begins an eventful summer before the end of the world.
[Source: Anime News Network ]
3rd Key x Aniplex x P.A. Works original anime project written by Jun Maeda. Previous works were <i>Angel Beats!</i> and <i>Charlotte</i>.<br>
<br>
One day during Youta Narukami's last summer vacation of high school, a girl named Hina suddenly appears and proclaims herself ""the All-Knowing God."" Hina announces to the thoroughly confused Youta, ""The world will end in 30 days."" Youta then witnesses Hina's god-like powers of prophecy, convincing him that her powers are real. Hina's naive innocence belies her powers, and she decides to live at Youta's home for some reason. Thus begins an eventful summer before the end of the world.<br>
<br>
(Source: Anime News Network)","Drama, Fantasy, Gods",2020-10-11T12:00:00+09:00,0,0,"https://u.livechart.me/anime/9939/poster_image/ef557e35a4c1fb7a1ebdf3736418de48.jpg?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx118419-IkrieA7rUo1K.jpg",P.A. Works,http://anidb.net/a15559,https://anilist.co/anime/118419,http://www.anime-planet.com/anime/the-day-i-became-a-god,https://www.anisearch.com/anime/15251,,,,,https://kitsu.io/anime/43204,https://myanimelist.net/anime/41930,,,https://kamisama-day.jp/,,/anime/9939/videos,https://twitter.com/kamisama_Ch_AB,,,,https://kamisama-day.jp
"Livechart (9789), Anilist (http://anilist.co/anime/116242)",Fall-2020,100万の命の上に俺は立っている,100-man no Inochi no Ue ni Ore wa Tatte Iru,I'm Standing on a Million Lives,"I'M STANDING ON MILLION LIVES, I'm standing on 1,000,000 lives., ",TV,False,False,"(From Livechart)
Ninth grader Yusuke Yotsuya is practical, friendless, and not active in any clubs. Then one day, he and two female classmates are suddenly sent to another world where they must work together to battle for their lives. Yotsuya is a lone wolf and has always lived his life according to his wants, but how will that work out now that he’s supposed to be a hero?!
[Source: Kodansha Comics ]
Ninth grader Yusuke Yotsuya is practical, friendless, and not active in any clubs. Then one day, he and two female classmates are suddenly sent to another world where they must work together to battle for their lives. Yotsuya is a lone wolf and has always lived his life according to his wants, but how will that work out now that he’s supposed to be a hero?! Get ready for a one-of-a-kind fantasy story that will challenge everything you thought you knew about fantasy!<br>
<br>
(Source: Kodansha Comics)","Action, Drama, Fantasy, Game, Shounen, Isekai, Magic, Harem",2020-10-02T21:00:00+09:00,12,0,"https://u.livechart.me/anime/9789/poster_image/cbecc62888b890f152e8c32251d66b5c.png?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx116242-JY81Khmbqysn.jpg",Maho Film,http://anidb.net/a15415,https://anilist.co/anime/116242,http://www.anime-planet.com/anime/im-standing-on-a-million-lives,https://www.anisearch.com/anime/15039,,,,,https://kitsu.io/anime/43367,https://myanimelist.net/anime/41380,,,http://1000000-lives.com/,,/anime/9789/videos,https://twitter.com/1000000_lives,,,/anime/9789/streams,http://1000000-lives.com
"Livechart (9758), Anilist (http://anilist.co/anime/114446)",Fall-2020,ひぐらしのなく頃に (2020),Higurashi no Naku Koro ni (2020),Higurashi: When They Cry – NEW,"When the Cicadas Cry - New, The Moment the Cicadas Cry - New, Higurashi When They Cry - New, Higurashi no Naku Koro ni (New Project), When They Cry (New Project), Higurashi: When They Cry - New, When the Cicadas Cry ",TV,False,False,"(From Livechart)
※ NOTE: 14+ episodes continuing into the winter season
New kid Keiichi Maebara is settling into his new home of peaceful Hinamizawa village. Making quick friends with the girls from his school, he’s arrived in time for the big festival of the year.
But something about this isolated town seems ‘off,’ and his feelings of dread continue to grow. With a gnawing fear that he’s right, what dark secrets could this small community be hiding?
[Source: Funimation ]
New kid Keiichi Maebara is settling into his new home of peaceful Hinamizawa village. Making quick friends with the girls from his school, he’s arrived in time for the big festival of the year.<br>
<br>
But something about this isolated town seems 'off,' and his feelings of dread continue to grow. With a gnawing fear that he’s right, what dark secrets could this small community be hiding?<br>
<br>
(Source: Funimation)","Horror, Mystery, Psychological, Supernatural, Thriller, Dementia, Denpa, Conspiracy, Achronological Order, Primarily Female Cast, Rural, Gore, Twins, Body Horror",2020-10-01T22:30:00+09:00,0,0,"https://u.livechart.me/anime/9758/poster_image/0b36c979640ec7e107450f5e17848d12.jpg?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx114446-MdLYZpn1WjR7.jpg",Passione,http://anidb.net/a15350,https://anilist.co/anime/114446,http://www.anime-planet.com/anime/higurashi-no-naku-koro-ni-new,https://www.anisearch.com/anime/14878,,,,,https://kitsu.io/anime/42935,https://myanimelist.net/anime/41006,,,https://higurashianime.com/,,/anime/9758/videos,https://twitter.com/higu_anime,,,/anime/9758/streams,https://higurashianime.com
"Livechart (9802), Anilist (http://anilist.co/anime/115740)",Fall-2020,神達に拾われた男,Kami-tachi ni Hirowareta Otoko,By the Grace of the Gods,"The man picked up by the gods, かみたちにひろわれたおとこ",TV,False,False,"(From Livechart)
Only 39 years into a life full of bad luck, Ryoma Takebayashi passes away in his sleep! Taking pity on him, three divine beings show compassion by reincarnating him as a young boy to a magical, new world.
Now he spends his time researching and caring for slimes. But after healing an injured traveler, Ryoma decides to set out with his new friends on a journey to use his power to help others.
[Source: Funimation ]
Only 39 years into a life full of bad luck, Ryouma Takebayashi passes away in his sleep! Taking pity on him, three divine beings show compassion by reincarnating him as a young boy to a magical, new world.<br>
<br>
Now he spends his time researching and caring for slimes. But after healing an injured traveler, Ryouma decides to set out with his new friends on a journey to use his power to help others.<br>
<br>
(Source: Funimation)","Adventure, Fantasy, Magic, Isekai, Male Protagonist, Nekomimi",2020-10-04T22:30:00+09:00,0,0,"https://u.livechart.me/anime/9802/poster_image/c404ca02a250ed07a2dccc4cd3729916.png?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx115740-UjyehYxEl8YD.jpg",Maho Film,http://anidb.net/a15400,https://anilist.co/anime/115740,http://www.anime-planet.com/anime/by-the-grace-of-the-gods,https://www.anisearch.com/anime/15007,,,,,https://kitsu.io/anime/43273,https://myanimelist.net/anime/41312,,,https://kamihiro-anime.com/,,/anime/9802/videos,https://twitter.com/kamihiro_anime,,,/anime/9802/streams,https://kamihiro-anime.com
"Livechart (9643), Anilist (http://anilist.co/anime/112609)",Fall-2020,魔女の旅々,Majo no Tabitabi,Wandering Witch: The Journey of Elaina,"Majotabi, TabiTabi, ",TV,False,False,"(From Livechart)
It's not about the destination...
What's your favorite story? Does it have a hero who slays a dragon and saves a princess? Or a child of prophecy destined for greatness? Well, my favorite story is a little different. It's the tale of a witch who travels the world, seeking nothing in particular. With no quest of her own, she's free to wander wherever the wind takes her, adding a few pages to the story of whomever she meets before setting off on her next adventure. At the end of her travels, the witch takes on an apprentice who will one day begin her own journey. And so the cycle continues, or so the story goes. Now, the witch who starts the story anew...who could she be?
[Source: Yen Press ]
Once upon a time, there was a witch named Elaina, who set off on a journey across the world. Along the way, she would meet all kinds of people, from a country full of witches to a giant in love with his own muscles-but with each meeting, Elaina would become a small part of their story, and her own world would get a little bit bigger.<br>
<br>
(Source: Yen Press)","Adventure, Fantasy, Episodic, Iyashikei, Magic, Witch, Yuri",2020-10-02T20:00:00+09:00,0,0,"https://u.livechart.me/anime/9643/poster_image/820aceb2d9a8489b70f5ed51284a108a.png?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx112609-dbpOh4fdXAlC.jpg",C2C,http://anidb.net/a15202,https://anilist.co/anime/112609,http://www.anime-planet.com/anime/wandering-witch-the-journey-of-elaina,https://www.anisearch.com/anime/14689,,,,,https://kitsu.io/anime/42627,https://myanimelist.net/anime/40571,,,,,/anime/9643/videos,https://twitter.com/majotabi_PR,,,/anime/9643/streams,https://majotabi.jp/
"Livechart (9937), Anilist (http://anilist.co/anime/118399)",Fall-2020,半妖の夜叉姫,Hanyo no Yashahime,Yashahime: Princess Half-Demon,"Hanyo no Yashahime: Sengoku Otogi Soshi, InuYasha",TV,False,False,"(From Livechart)
The daughters of Sesshomaru and Inuyasha set out on a journey transcending time!
In Feudal Japan, Half-Demon twins Towa and Setsuna are separated from each other during a forest fire. While desperately searching for her younger sister, Towa wanders into a mysterious tunnel that sends her into present-day Japan, where she is found and raised by Kagome Higurashi’s brother, Sota, and his family.
Ten years later, the tunnel that connects the two eras has reopened, allowing Towa to be reunited with Setsuna, who is now a Demon Slayer working for Kohaku. But to Towa’s shock, Setsuna appears to have lost all memories of her older sister.
Joined by Moroha, the daughter of Inuyasha and Kagome, the three young women travel between the two eras on an adventure to regain their missing past.
[Source: VIZ ]
The daughters of Sesshomaru and Inuyasha set out on a journey transcending time!
<br><br>
In Feudal Japan, Half-Demon twins Towa and Setsuna are separated from each other during a forest fire. While desperately searching for her younger sister, Towa wanders into a mysterious tunnel that sends her into present-day Japan, where she is found and raised by Kagome Higurashi’s brother, Sota, and his family.
<br><br>
Ten years later, the tunnel that connects the two eras has reopened, allowing Towa to be reunited with Setsuna, who is now a Demon Slayer working for Kohaku. But to Towa’s shock, Setsuna appears to have lost all memories of her older sister.
<br><br>
Joined by Moroha, the daughter of Inuyasha and Kagome, the three young women travel between the two eras on an adventure to regain their missing past.
<br><br>
(Source: Viz)","Action, Adventure, Demons, Fantasy, Historical",2020-10-03T16:30:00+09:00,0,0,"https://u.livechart.me/anime/9937/poster_image/42d53909321cce364eb1bfd5c1aa51c1.png?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx118399-sgHg8NQVQixB.png",Sunrise,http://anidb.net/a15546,https://anilist.co/anime/118399,http://www.anime-planet.com/anime/yashahime-princess-half-demon,https://www.anisearch.com/anime/15241,http://www.crunchyroll.com/yashahime-princess-half-demon,,,,https://kitsu.io/anime/43180,https://myanimelist.net/anime/41911,,,,,/anime/9937/videos,https://twitter.com/hanyo_yashahime,,,/anime/9937/streams,http://hanyo-yashahime.com/
"Livechart (9727), Anilist (http://anilist.co/anime/114124)",Fall-2020,憂国のモリアーティ,Yuukoku no Moriarty,Moriarty the Patriot,,TV,False,False,"(From Livechart)
In the late 19th century, Great Britain rules over a quarter of the world. Nobles sit in their fancy homes in comfort and luxury, while the working class slaves away at their jobs. When young Albert James Moriarty’s upper-class family adopts two lower-class orphans, the cruelty the boys experience at his family’s hands cements Albert’s hatred of the nobility he was born into. He asks the older of the two boys—who has a genius mind and a killer instinct—to help him rid the world of evil, starting with Albert’s own family!
[Source: VIZ ]
The story's protagonist is James Moriarty, the famous antagonist from Sir Arthur Conan Doyle's Sherlock Holmes series. He is an orphan who assumes the name William James Moriarty when he and his younger brother are adopted into the Moriarty family. As a young man, he seeks to remove the ills caused by England's strict class system.<br>
<br>
","Mystery, Psychological, Shounen, Primarily Male Cast, Male Protagonist, Historical",2020-10-11T21:30:00+09:00,0,0,"https://u.livechart.me/anime/9727/poster_image/ec82451254670ce4e29a9abb08c5927d.jpg?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx114124-def92qPuIVeK.jpg",Production I.G,http://anidb.net/a15324,https://anilist.co/anime/114124,http://www.anime-planet.com/anime/yukoku-no-moriarty,https://www.anisearch.com/anime/14836,,,,,https://kitsu.io/anime/43448,https://myanimelist.net/anime/40911,,,https://moriarty-anime.com/,,/anime/9727/videos,https://twitter.com/moriarty_anime,,,/anime/9727/streams,https://moriarty-anime.com
"Livechart (9752), Anilist (http://anilist.co/anime/114340)",Fall-2020,くまクマ熊ベアー,Kuma Kuma Kuma Bear,,The Bears Bear a Bare Kuma,TV,False,False,"(From Livechart)
Fifteen-year-old Yuna prefers staying home and obsessively playing her favorite VRMMO game to doing anything else, including going to school. When a strange new update gives her a one-of-a-kind bear outfit that comes with overpowered abilities, Yuna is torn: the outfit is unbearably cute, but too embarrassing to wear in-game. But then she suddenly finds herself transported into the world of the game, facing down monsters and magic for real, and the bear suit becomes the best weapon she has!
[Source: Seven Seas Entertainment ]
Fifteen-year-old Yuna prefers staying home and obsessively playing her favorite VRMMO game to doing anything else, including going to school. When a strange new update gives her a one-of-a-kind bear outfit that comes with overpowered abilities, Yuna is torn: the outfit is unbearably cute, but too embarrassing to wear in-game. But then she suddenly finds herself transported into the world of the game, facing down monsters and magic for real, and the bear suit becomes the best weapon she has!<br>
<br>
(Source: Seven Seas Entertainment)
<br><br>
<i>Note: The first episode was streamed on Abema TV on September 19, 2020. The regular TV broadcast started on October 7, 2020.</i>","Adventure, Comedy, Fantasy, Isekai, Video Games, Cute Girls Doing Cute Things, Yuri, Female Protagonist, Primarily Female Cast",2020-10-07T20:00:00+09:00,0,0,"https://u.livechart.me/anime/9752/poster_image/52fef5c2aa5dbbe85556560cc96e1c36.jpg?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx114340-9KovjbYWlNGa.jpg","EMT², EMT Squared",http://anidb.net/a15342,https://anilist.co/anime/114340,http://www.anime-planet.com/anime/kuma-kuma-kuma-bear,https://www.anisearch.com/anime/14864,,,,,https://kitsu.io/anime/43214,https://myanimelist.net/anime/40974,,,https://kumakumakumabear.com/,,/anime/9752/videos,https://twitter.com/kumabear_anime,,,/anime/9752/streams,https://kumakumakumabear.com
"Livechart (9507), Anilist (http://anilist.co/anime/110355)",Fall-2020,ゴールデンカムイ 第三期,Golden Kamuy 3rd Season,,"Golden Kamui 3rd season, ゴールデンカムイ第3期, Golden Kamuy Season 3, Golden Kamui 3, ゴールデンカムイ 3",TV,False,False,"(From Livechart)
Will Asirpa and Sugimoto ever be reunited? A new battle for survival begins in the frozen land of Karafuto! After the battle at the prison, Sugimoto and Asirpa were separated. Kiroranke and Ogata take Asirpa north to Karafuto, along with Shiraishi, the ""Escape King,"" to follow a clue about her father. With Noppera-bo, the man who stole the Ainu gold, dead, only his daughter Asirpa can solve the mystery. Kiroranke's goal is to take her to meet his former comrades, Far-East Russian partisans. Meanwhile, Sugimoto teams up with Lt. Tsurumi and the rest of the 7th. He and Tanigaki volunteer to go ahead to search for her. They head to Karafuto, along with Tsukishima and Koito. What awaits them in the frozen lands of the North? A new battle for survival!
[Source: Crunchyroll ]
The third season of <i>Golden Kamuy</i>.<br>
<br>
Separated from Sugimoto, Asirpa now travels toward the Russian border, focused on discovering more about her and her father’s involvement with the coded tattoos. But Sugimoto is determined to find and protect Asirpa! Along the way, he’ll discover new people, new cultures rich with history, and an unforgiving terrain. Will Sugimoto and Asirpa survive their journeys and reunite?<br>
<br>
(Source: Funimation)","Action, Adventure, Historical, Seinen, Primarily Adult Cast, Military, Crime, Educational, Food, Language Barrier, Guns",2020-10-05T22:00:00+09:00,0,0,"https://u.livechart.me/anime/9507/poster_image/d593901e173ca4bc9d81fd3675aa2607.jpg?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx110355-yXOXm5tr8kgr.png",Geno Studio,http://anidb.net/a14995,https://anilist.co/anime/110355,http://www.anime-planet.com/anime/golden-kamuy-3rd-season,https://www.anisearch.com/anime/14496,http://www.crunchyroll.com/golden-kamuy,https://www.crunchyroll.com/golden-kamuy,https://www.funimation.com/shows/golden-kamuy/,,https://kitsu.io/anime/42435,https://myanimelist.net/anime/40059,,,,,/anime/9507/videos,https://twitter.com/kamuy_anime,https://twitter.com/kamuy_official,https://vrv.co/series/GY8DWQN5Y/Golden-Kamuy,/anime/9507/streams,https://kamuy-anime.com/
"Livechart (9598), Anilist (http://anilist.co/anime/111428)",Fall-2020,魔王城でおやすみ,Maoujou de Oyasumi,Sleepy Princess in the Demon Castle,"maojo, Maou-jou de Oyasumi, ",TV,False,False,"(From Livechart)
Sshhh! Princess Syalis is trying to get a good night's sleep. Some shut-eye. Forty winks. Catch some Z's. Long ago in olden times when people and demons lived together in—well, disharmony, really—a demon king kidnaps a human princess and imprisons her in his castle. Bereft, the princess's subjects beat their chests in anguish…until a hero arises to spearhead Project Rescue Our Princess! While waiting for her knight in shining armor, what's an imprisoned princess to do...? Teddy-bear guards with bat wings are all very well, but her dungeon cell is bo-o-o-ring! So, she decides to wile away the long hours by sleeping. Now if only she could get comfortable…and didn't suffer from insomnia...
[Source: VIZ ]
Sshhh! Princess Syalis is trying to get a good night's sleep. Some shut-eye. Forty winks. Catch some Z's. Long ago in olden times when people and demons lived together in—well, disharmony, really—a demon king kidnaps a human princess and imprisons her in his castle. Bereft, the princess's subjects beat their chests in anguish…until a hero arises to spearhead Project Rescue Our Princess! While waiting for her knight in shining armor, what's an imprisoned princess to do...? Teddy-bear guards with bat wings are all very well, but her dungeon cell is bo-o-o-ring! So, she decides to wile away the long hours by sleeping. Now if only she could get comfortable…and didn't suffer from insomnia...<br>
<br>
(Source: Viz)","Comedy, Fantasy, Magic, Shounen, Slice of Life, Supernatural, Demons, Female Protagonist, Primarily Adult Cast, Monster Girl",2020-10-06T02:00:00+09:00,0,0,"https://u.livechart.me/anime/9598/poster_image/de88c7e0de43c6ce098d7afab73fc7ed.png?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx111428-uL8XLKQ4c09u.png",Doga Kobo,http://anidb.net/a15095,https://anilist.co/anime/111428,http://www.anime-planet.com/anime/sleepy-princess-in-the-demon-castle,https://www.anisearch.com/anime/14611,,,,,https://kitsu.io/anime/42551,https://myanimelist.net/anime/40397,,,https://maoujo-anime.com/,,/anime/9598/videos,https://twitter.com/maoujo_anime,,,,https://maoujo-anime.com
"Livechart (9831), Anilist (http://anilist.co/anime/116566)",Fall-2020,アクダマドライブ,Akudama Drive,,Akudama Drive,TV,False,False,"(From Livechart)
Many years ago, a Great Civil War ravaged Japan, leaving the country fragmented between two regions: Kansai and Kanto. In Kansai, a group of six Akudama carry out missions given to them by a mysterious black cat, while evading the police.
But a dangerous journey is about to unfold when a civilian girl becomes twisted into the Akudama’s way of life and witnesses their criminal drives.
[Source: Funimation ]
Many years ago, a Great Civil War ravaged Japan, leaving the country fragmented between two regions: Kansai and Kanto. In Kansai, a group of six Akudama carry out missions given to them by a mysterious black cat, while evading the police.<br>
<br>
But a dangerous journey is about to unfold when a civilian girl becomes twisted into the Akudama’s way of life and witnesses their criminal drives.<br>
<br>
(Source: Funimation)","Action, Sci-Fi, Urban, Crime",2020-10-08T20:30:00+09:00,0,0,"https://u.livechart.me/anime/9831/poster_image/b76133372164be50bc21fecd767c24ce.jpg?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b116566-gPdsIhCeCpL9.png",Studio Pierrot,http://anidb.net/a15437,https://anilist.co/anime/116566,http://www.anime-planet.com/anime/akudama-drive,https://www.anisearch.com/anime/15069,,,,,https://kitsu.io/anime/43067,https://myanimelist.net/anime/41433,,,https://akudama-drive.com/,,/anime/9831/videos,https://twitter.com/akudamadrive,,,/anime/9831/streams,https://akudama-drive.com
